formulaire029-equation019	h_{00}(t) = 2t^3-3t^2+1
34_em_243	\frac{1}{\sqrt{ \pi}} \sqrt{\pi}=1
RIT_2014_26	 a - \frac {3} {a} + \frac {1} {a ^ {2} + 1} 
formulaire026-equation061	z-1
200924-1331-239	 x 
TrainData2_14_sub_6	x_{i} - x_{i + 1} + x_{i + 2}
200924-1312-95	 \sin { a } _ { S } 
formulaire028-equation062	y_{ij} = 1
200926-1617-163	 \alpha 
formulaire020-equation020	65 \times 197 \leq 12805
formulaire024-equation000	46 \pm ((95  79)  75) + (55  65)
formulaire012-equation024	X_{(m+1)}
formulaire056-equation006	f(x)=x^n
515_em_374	\sin(\theta) + i\cos(\theta)
200926-131-208	 { { \sin } ^ { \mbox { F } } \frac { V } { { \mu i } } } ^ { \mbox { v } \left ( \mbox { E } \right ) } 
MfrDB2087	\frac{b}{{a^{2}} - a} - \frac{b}{a - 1}
KME2G3_10_sub_74	\int_{\log 3}^0 \frac 1 {e^t + 1} d t
65_user0	x = r \cos \theta
formulaire009-equation015	15 \pm (12 - 10 - 29) \div 161
formulaire010-equation069	p = p_t + p_c + p_n + p_e + p_r + p_v
formulaire023-equation036	akb=-b(y-y_0)
MfrDB3509	{6^{6}} \cdot {6^{2}} = {( {6^{x}} )^{4}}
MfrDB3000	\int\limits_{3}^{6} \int\limits_{2}^{4} 2 dx dy = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 12
MfrDB3393	{( \frac{1 + {x^{2}}}{1 + {y^{2}}} )^{k}} \leq {2^{| t |}} {( 1 + {( x - y )^{2}} )^{| t |}}
formulaire006-equation066	n = 0
formulaire034-equation014	k_1 = k_t = k
80_leissi	\frac{1}{r^2} = \frac{1}{(R - m)^2} + \frac{1}{(R + m)^2}
formulaire015-equation051	\sqrt{29}
200926-131-184	 { \mbox { i } - { a \mbox { z } } } 
108_leissi	a^xa^y = a^{x+y}
formulaire035-equation008	z=r(\cos\theta+i\sin\theta)
RIT_2014_197	 k _ {i} = \frac {x _ {i}} {\sum x _ {i}} 
KME2G3_8_sub_28	z_1^2 + 1^z - z_2^2 + 2^z
MfrDB0914	E = m {c^{2}}
200926-131-207	 { p } _ { \mbox { i } } 
200923-1553-124	 \mbox { t } 
formulaire038-equation058	(a_1 b_2 + a_2 b_1 + a_3 b_4 - a_4 b_3)^2
formulaire019-equation036	a \leq x \leq b
formulaire028-equation029	h_{ij}
2_em_7	\{u\}
200926-131-127	 { - 1.5 } 
200923-1553-51	 \left ( 9 \right ) 
91_leissi	\sin \theta = \frac{y}{\sqrt{x^2 + y^2}}
KME1G3_8_sub_10	\int_a^b \frac {\sqrt x} 2 d x
rit_42105_4	 x \times \frac {a} {6} + y 
2009213-137-32	 a x ^ 4 + b x + c = 0 
200925-1126-162	 { \sin } ^ { \mu } Y 
formulaire019-equation073	125 = 5^{1 + 2}
formulaire034-equation068	\cos(\beta)
MfrDB1287	\frac{{T_{1}^{2}}}{{T_{2}^{2}}} = \frac{{a_{1}^{3}}}{{a_{2}^{3}}}
89_jorge	x^\prime = x \cos \theta + y \sin \theta
rit_4280_2	 \sqrt {\sqrt {2}} 
505_em_54	\sum_{n=1}^{k}x_nz_n
KME2G3_4_sub_63	\frac 1 a F ( a x + b ) + C
formulaire001-equation016	\cos (a + b) = \cos a \cos b - \sin a \sin b
formulaire001-equation056	n^2 - n + 41
123_em_362	M N = N M
23_em_66	z^3 + z = z
formulaire032-equation054	p_h-p
200922-1017-157	 { - \left ( \mbox { S } \right ) } 
MfrDB1995	\sqrt{\frac{1}{n} \sum_{k = 1}^{n} {( a_{k} )^{2}}} \geq \frac{1}{n} \sum_{k = 1}^{n} a_{k}
MfrDB1745	\sin \frac{\pi}{4} = \cos \frac{\pi}{4} = \frac{\sqrt{2}}{2}
formulaire032-equation023	\alpha_{13}
MfrDB1907	2 \log ( x - 3 ) = \log ( 5 - x )
2009220-1327-113	 \sqrt { 5 } 
KME2G3_19_sub_26	x_1 \times x_2 \times x_3 \times x_4 = X
formulaire024-equation041	\frac { 1}{4} aa+bb
KME2G3_24_sub_96	[ b^x \{ ( \frac a b )^x + 1 \} ]^{\frac 1 x}
formulaire015-equation053	x=-\sqrt{y-3}
formulaire003-equation028	3^3 + 7^3 +1^3 = 371
200925-1126-77	 \frac { { \mbox { z } } ^ { g } } { \mbox { I } } 
MfrDB1276	\int\limits_{0}^{\infty} f ( x ) dx = \lim_{b \to \infty} \int\limits_{0}^{b} f ( x ) dx
TrainData2_22_sub_73	\alpha_{n + 1} - 3 \beta = \frac{2}{3} \alpha_{n} + \beta - 3 \beta
formulaire016-equation038	1-x
MfrDB3239	\int\limits_{3}^{6} \int\limits_{2}^{4} 2 dx dy = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 12
formulaire027-equation061	\alpha(z)
formulaire015-equation068	{10}^{47}
MfrDB1673	\frac{a_{1} + a_{2} + {a^{3}}}{1 - x}
MfrDB3246	3 {a^{2}} {b^{3}} + 5 {a^{3}} {b^{2}} - \frac{{a^{5}} {b^{8}}}{2}
formulaire003-equation018	n^3 = n^{\log_{2}8}
28_em_137	3, 4, 5, 6, \ldots
formulaire037-equation054	q(t)
formulaire007-equation051	x=\phi_{ki}(z)
formulaire029-equation025	177 + 153 - 172 \leq 158
519_em_456	\sin 2a = 2 \sin a \cos a
200922-947-57	 { \mbox { R } \left ( V \right ) } ^ { \mbox { m } } 
37_em_5	\frac{\sqrt{2+\sqrt{2}}}{2}
200926-1617-188	 { A - 1 } 
200924-1331-245	 \left ( 7.0 \right ) 
MfrDB2076	\sqrt[5]{55}
001-equation003	\forall a , \forall b , \forall c , ( a , b , c ) = ( ( a , b ) , c )
RIT_2014_233	 A ^ {T} 
MfrDB3231	{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}
200924-1312-112	 { - { f } ^ { w } } 
formulaire011-equation010	64  (78 - 9 - 167) = -0.65
MfrDB3522	\int\limits_{0}^{1} \sqrt{x} dx
formulaire032-equation067	u_{n+2}=u_n-q_{n+2}u_{n+1}
505_em_51	|x^{\frac{1}{n}} - c^{\frac{1}{n}}| = \frac{|x^{\frac{1}{n}} - c^{\frac{1}{n}}||x^{\frac{n-1}{n}} + x^{\frac{n-2}{n}}c^{\frac{1}{n}} + \cdots + x^{\frac{1}{n}}c^{\frac{n-2}{n}}|}{|x^{\frac{n-1}{n}} + x^{\frac{n-2}{n}}c^{\frac{1}{n}} + \cdots + x^{\frac{1}{n}}c^{\frac{n-2}{n}} + c^{\frac{n-1}{n}}|}
rit_4295_2	 x ^ {4} - 8 x ^ {3} + 2 x ^ {2} + 8 x + 1 
2009213-139-19	 x ^ 2 + y ^ 2 = z ^ 2 
31_em_176	\left (\frac{\pi}{\sqrt{2}} \right)
TrainData2_20_sub_17	x_{1} - x_{2} + y_{1} - y_{2} + z_{1} - z_{2}
KME2G3_6_sub_3	e_1^2 + e_2^3 + e_3^4 + e_4^5
formulaire058-equation061	\sin(a+b)= \sin(a) \cos(b) +\sin(b) \cos(a)
200923-1556-32	 a x ^ 4 + b x + c = 0 
200923-1553-84	 \mbox { Pk } 
formulaire022-equation063	a^{x+y}=a^xa^y
200926-1617-30	 \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a } 
formulaire007-equation016	6a^2
2009213-137-236	 0 
formulaire031-equation012	\phi_1,\phi_2
200923-131-51	 \sum { \mbox { E } } 
rit_42120_3	 \sin 2 x = 2 \sin x \cos x 
200922-1017-42	 \frac { 1 } { 3 } \pi r ^ 2 h 
517_em_402	\frac{p}{q}
rit_4260_4	 \frac {1} {8} 
2009213-137-113	 \frac { \mbox { i } } { \sqrt { R } } 
32_em_208	b_\mathrm{u}
200923-1553-206	 \mbox { tE } 
formulaire036-equation043	aX^2-bX-a
formulaire025-equation056	x - y
200922-947-3	 \log \mbox { v } 
MfrDB3338	F = m g
RIT_2014_179	 y = 3 x + 7 + \frac {x + 8} {x} 
formulaire050-equation003	k=12n-1
MfrDB3044	\sum_{n = 1}^{\infty} {( \frac{\sum_{i = 1}^{n} a_{i}}{n} )^{p}} \lt {( \frac{p}{p - 1} )^{p}} \sum_{n = 1}^{\infty} {a_{n}^{p}}
formulaire003-equation008	g_{ab}
rit_42100_2	 \frac {\sqrt {4}} {2} 
200923-1253-95	 \frac { z } { { \mbox { i } } _ { \mbox { m } } } 
200923-1253-188	 \left [ { P } _ { V } \right ] 
formulaire031-equation061	\sin^2 \phi = 1 - n_x^2 - n_y^2
formulaire005-equation035	10 + 67 \leq 77
2009213-137-162	 \sqrt { \mbox { P } } 
2009213-139-72	 \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } } 
502_em_21	a_0+3a_1+9a_2+27a_3=0
200923-131-159	 \left [ { P } _ { \mbox { I } } \right ] 
200924-1312-16	 \left [ \left [ \mbox { z } \right ] \right ] 
formulaire035-equation038	0=6(x-2)(x+1)
200924-1331-15	 \left [ { P + 0 } \right ] 
105_em_77	V_i-V_o
200923-1254-204	 { \left [ \mbox { N } \right ] - \mbox { S } } 
200925-1126-38	 \frac { 4 } { 3 } \pi r ^ 3 
MfrDB0374	3 x = 50
TrainData1_1_sub_21	A = \sqrt{a + \frac{1}{\sqrt{a + \frac{1}{\sqrt{a}}}}} + \sqrt{b}
MfrDB2821	\sum_{m = 0}^{M} \sum_{n = 0}^{N} a_{m , n}
2009220-1327-105	 { 3.8 \sum { { { \mbox { P } } _ { { A } _ { N } } + 85 } } } 
200922-949-202	 { \mbox { f } \lt { \mbox { z } } _ { X } } 
formulaire035-equation042	\lim_{x \rightarrow +\infty} a^x = 0
9_em_76	\phi\in S
105_Nina	\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
TrainData2_13_sub_41	\frac{\tan \alpha - \tan \beta}{1 + \tan \alpha \tan \beta}
TrainData2_24_sub_51	\lim_{x \rightarrow \frac{\pi}{2} + 0} \tan x = - \infty
formulaire035-equation034	\frac {x-10}{11-10} = \frac {22-20,6}{22,6-20,6}
formulaire010-equation041	f(e^d) = (f(e))^d
200924-1312-206	 \frac { { N + m } } { { \mbox { B } } _ { \mbox { p } } } 
200922-947-45	 \int { M - \mbox { d } } dT 
formulaire012-equation002	u^3+v^3 = -\frac{95}{54}
formulaire014-equation016	k=-\frac{1}{2}
rit_42125_1	 1 + \tan ^ {2} x 
200923-1254-212	 \sqrt { { o - \mbox { L } } } 
200924-1331-243	 { \mbox { S } } _ { \mbox { o } } 
KME2G3_0_sub_39	\sin x - \sin y - \sin ( x - y )
formulaire023-equation004	x_1,\ldots, x_n
formulaire024-equation042	365+\frac{1}{4}-\frac{3}{400}=365,2425j
formulaire012-equation017	(1-j)
95_edwin	b= c \sin B = c \cos A
formulaire017-equation069	q=-\sum_{i=1}^sl_i^2+\sum_{i=s+1}^rl_i^2
formulaire052-equation050	(31 / (18 + 12)) + 36 = 37.03
formulaire028-equation014	\frac{du}{ds} = 0
108_miguel	a^xa^y = a^{x+y}
MfrDB3047	a_{n} = a_{1} + ( n - 1 ) d
200924-1312-151	 2.0 
508_em_88	f(a)f(b)=f(a+b)
MfrDB1970	v = v_{0} t - g {t^{2}}
200923-1253-181	 \sum { \mu } 
